ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
871079.BJ,20250430,20250331,盈富泰克创业投资有限公司,2545984.0,3.6372,3.6372,-699900.0,资产管理公司
688390.SH,20250429,20250331,交通银行股份有限公司-汇丰晋信低碳先锋股票型证券投资基金,5036145.0,2.076,2.076,0.0,开放式投资基金
688390.SH,20250429,20250331,香港中央结算有限公司,3168987.0,1.3063,1.3063,112013.0,一般企业
836844.BJ,20250430,20250331,汪业,906042.0,0.8269,0.827,,自然人
836844.BJ,20250430,20250331,许炳灿,906041.0,0.8269,0.827,,自然人
836844.BJ,20250430,20250331,张艳萍,1132552.0,1.0336,1.0337,0.0,自然人
836844.BJ,20250430,20250331,杭州广意投资管理合伙企业(有限合伙),10067137.0,9.1883,9.1884,0.0,投资公司
836844.BJ,20250430,20250331,杨寓画,906042.0,0.8269,0.827,0.0,自然人
836844.BJ,20250430,20250331,谢方,2642623.0,2.4119,2.4119,0.0,自然人
836844.BJ,20250430,20250331,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),5000000.0,4.5635,4.5635,-57314.0,开放式投资基金
836844.BJ,20250430,20250331,谢东,49077298.0,44.7932,44.7933,0.0,自然人
836844.BJ,20250430,20250331,中国建设银行股份有限公司-富国新活力灵活配置混合型发起式证券投资基金,1098070.0,1.0022,1.0022,-330157.0,开放式投资基金
